srcIp,dstIp,srcPort,dstPort,protocol,packetCount,flow_index,duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle
172.18.161.20,172.18.160.174,53239,6006,UDP,20,20,518202880,514711040,510125824,55960064,54158848,59095040,57899008,57190115.55555555,56680647.11111111,0.038594922513745966,30.451393863345565,3491840,51017984,27273835.789473683,22918944.958942648,0,0.0,0,0.0,3491840,27273835.789473683,51017984,22918944.958942648
172.18.161.20,172.18.160.174,12336,13919,UDP,10,21,514711040,514711040,0,55960064,0,59095040,0,57190115.55555555,0.0,0.01942837674513451,4.1188158699685165,55960064,59095040,57190115.55555555,973646.0779162919,0,0.0,0,0.0,55960064,57190115.55555555,59095040,973646.0779162919
172.18.161.20,172.18.160.174,53240,6007,UDP,20,22,536156928,532634112,525190912,55108096,54444800,68278016,68122112,59181568.0,58354545.777777776,0.037302511551244935,29.431681613932255,3522816,50921984,28218785.684210528,22114469.91277072,0,0.0,0,0.0,3522816,28218785.684210528,50921984,22114469.91277072
172.18.161.20,172.18.160.174,12336,14175,UDP,10,23,532634112,532634112,0,55108096,0,68278016,0,59181568.0,0.0,0.018774614270292925,3.9802182253021003,55108096,68278016,59181568.0,4635284.8207634445,0,0.0,0,0.0,55108096,59181568.0,68278016,4635284.8207634445
172.18.161.20,172.18.160.174,53241,6008,UDP,20,24,548419072,540954112,540702976,55816960,55927040,69812992,69843968,60106012.44444445,60078108.44444445,0.036468461840801915,28.77361639239271,5156864,50851840,28864161.684210528,21517335.53322178,0,0.0,0,0.0,5156864,28864161.684210528,50851840,21517335.53322178
172.18.161.20,172.18.160.174,12336,14431,UDP,10,25,540954112,540954112,0,55816960,0,69812992,0,60106012.44444445,0.0,0.018485856338217463,3.919001543702102,55816960,69812992,60106012.44444445,4796383.496806087,0,0.0,0,0.0,55816960,60106012.44444445,69812992,4796383.496806087
172.18.161.20,172.18.160.174,53242,6009,UDP,20,26,553228032,544903936,545917184,57594880,57815040,69342208,69330944,60544881.777777776,60657464.88888889,0.03615145806639097,28.523500414382475,6946048,51057152,29117264.842105262,21242709.929967478,0,0.0,0,0.0,6946048,29117264.842105262,51057152,21242709.929967478
172.18.161.20,172.18.160.174,12336,14687,UDP,10,27,544903936,544903936,0,57594880,0,69342208,0,60544881.777777776,0.0,0.01835185862926121,3.8905940294033767,57594880,69342208,60544881.777777776,3794563.3443436474,0,0.0,0,0.0,57594880,60544881.777777776,69342208,3794563.3443436474
172.18.161.20,172.18.160.174,53243,6010,UDP,20,28,530631936,521489920,522683904,54791168,54671872,62852864,63447040,57943324.44444445,58075989.333333336,0.037690908976876956,29.73812718275592,4210944,50969088,27927996.63157895,22129953.038544226,0,0.0,0,0.0,4210944,27927996.63157895,50969088,22129953.038544226
172.18.161.20,172.18.160.174,12337,12383,UDP,10,29,521489920,521489920,0,54791168,0,62852864,0,57943324.44444445,0.0,0.019175826063905513,4.065275125547968,54791168,62852864,57943324.44444445,2279564.7340002824,0,0.0,0,0.0,54791168,57943324.44444445,62852864,2279564.7340002824
